field_1,Date,Latitude,Longitude,water_temp
44,1/8/2000,40.227646,-77.20661,11
72,1/14/2001,40.227646,-77.20661,11
136,2/10/2001,40.227646,-77.20661,10
147,2/12/2000,40.227646,-77.20661,11
164,2/15/1998,40.239804,-77.173815,5
238,3/10/2001,40.227646,-77.20661,9
244,3/11/2000,40.227646,-77.20661,8.2
258,3/13/1999,40.20152,-77.184854,12
271,3/14/1998,40.20152,-77.184854,10
306,4/5/1998,40.20152,-77.184854,13
332,4/8/2000,40.227646,-77.20661,12
345,4/10/1999,40.20152,-77.184854,16
349,4/11/1998,40.239804,-77.173815,10
363,4/14/2001,40.227646,-77.20661,10
422,5/8/1999,40.227646,-77.20661,12
430,5/9/1998,40.20152,-77.184854,16
460,5/13/2000,40.227646,-77.20661,13
545,6/10/2000,40.227646,-77.20661,13
555,6/12/1999,40.227646,-77.20661,13
644,7/7/1998,40.187955,-77.187194,16
652,7/8/2000,40.227646,-77.20661,13
666,7/10/1999,40.227646,-77.20661,13
668,7/11/1998,40.20152,-77.184854,16
710,7/19/1998,40.219418,-77.155726,16
762,8/8/1998,40.20152,-77.184854,14
793,8/12/2000,40.227646,-77.20661,14
801,8/14/1999,40.227646,-77.20661,15
817,8/16/1998,40.219418,-77.155726,15
818,8/16/1998,40.187955,-77.187194,14
859,9/9/2000,40.227646,-77.20661,14
875,9/11/1999,40.227646,-77.20661,14
882,9/12/1998,40.20152,-77.184854,17
890,9/13/1998,40.219418,-77.155726,18
891,9/13/1998,40.187955,-77.187194,16
957,10/10/1999,40.227646,-77.20661,14
959,10/11/1998,40.219418,-77.155726,14
960,10/11/1998,40.20152,-77.184854,12
961,10/11/1998,40.187955,-77.187194,14
977,10/14/2000,40.227646,-77.20661,14
1038,11/11/2000,40.227646,-77.20661,13
1053,11/13/1999,40.227646,-77.20661,13
1130,12/10/2000,40.227646,-77.20661,10
1138,12/11/1999,40.227646,-77.20661,12
1145,12/12/1998,40.20152,-77.184854,10
2897,1/1/1993,40.17663,-77.18537,9.5
2898,1/1/1993,40.23487,-77.14193,8
2899,1/1/1993,40.17667,-77.18507,8.85
2900,1/1/1993,40.17999,-77.18692,9.25
2901,1/1/1993,40.18844,-77.18606,8.5
2902,1/1/1993,40.19528,-77.18423,8.5
2903,1/1/1993,40.20792,-77.18104,7.75
2904,1/1/1993,40.21418,-77.16883,8.25
2905,1/1/1993,40.21847,-77.16003,8.4
2906,1/1/1993,40.22429,-77.14928,8.4
2907,1/1/1994,40.17663,-77.18537,7.5
2908,1/1/1994,40.23487,-77.14193,5.1
2909,1/1/1994,40.17667,-77.18507,7
2910,1/1/1994,40.17999,-77.18692,7
2911,1/1/1994,40.18844,-77.18606,6
2912,1/1/1994,40.19528,-77.18423,5.5
2913,1/1/1994,40.20792,-77.18104,6
2914,1/1/1994,40.21418,-77.16883,5
2915,1/1/1994,40.21847,-77.16003,5
2916,1/1/1994,40.22429,-77.14928,5
2917,1/3/2003,40.17663,-77.18537,10
2918,1/3/2003,40.23487,-77.14193,6.6
2919,1/3/2003,40.17667,-77.18507,9.2
2920,1/3/2003,40.17999,-77.18692,8.9
2921,1/3/2003,40.18844,-77.18606,8.5
2922,1/3/2003,40.19528,-77.18423,8.3
2923,1/3/2003,40.20792,-77.18104,7.3
2924,1/3/2003,40.21418,-77.16883,7.7
2925,1/3/2003,40.21847,-77.16003,7.1
2926,1/3/2003,40.22429,-77.14928,7.2
2927,1/3/2003,40.19568,-77.18767,11.5
2928,1/3/2003,40.19608,-77.18518,9.9
2930,1/6/2017,40.17663,-77.18537,12.3
2931,1/7/2007,40.17663,-77.18537,10.6
2932,1/7/2007,40.23487,-77.14193,6.6
2933,1/7/2007,40.17667,-77.18507,10.1
2934,1/7/2007,40.17999,-77.18692,9.5
2935,1/7/2007,40.18844,-77.18606,9.6
2936,1/7/2007,40.19528,-77.18423,9.1
2937,1/7/2007,40.20792,-77.18104,7.9
2938,1/7/2007,40.21418,-77.16883,7.4
2939,1/7/2007,40.21847,-77.16003,7
2940,1/7/2007,40.22429,-77.14928,7.1
