"","Date","Latitude","Longitude","year","Water temperature (WT.6)","Water temperature (WT.6) Code","Water temperature (WT.6) Tier","Water temperature (WT.6) Units","Water temperature (WT.7)","Water temperature (WT.7) Code","Water temperature (WT.7) Units","Water temperature (WT.10)","Water temperature (WT.10) Code","Water temperature (WT.10) Tier","Water temperature (WT.10) Units","pH (PH.3)","pH (PH.3) Code","pH (PH.3) Tier","pH (PH.3) Units","pH (PH.7)","pH (PH.7) Code","pH (PH.7) Tier","pH (PH.7) Units","pH (PH.10)","pH (PH.10) Code","pH (PH.10) Tier","pH (PH.10) Units"
"1",2012-01-01,40.89526,-78.20605,2012,NA,NA,NA,NA,NA,NA,NA,7.222222222,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"2",2012-01-01,42.21541,-76.03917,2012,NA,NA,NA,NA,NA,NA,NA,6.5,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"3",2012-01-01,40.94253,-78.12451,2012,NA,NA,NA,NA,NA,NA,NA,6.666666667,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"4",2016-01-01,40.82668,-78.1111,2016,NA,NA,NA,NA,NA,NA,NA,6.5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"5",2016-01-01,40.94715,-77.82855,2016,NA,NA,NA,NA,NA,NA,NA,6,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"6",2016-01-02,38.27592,-79.33541,2016,NA,NA,NA,NA,NA,NA,NA,7,"WT.10",1,"deg C",5.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"7",2016-01-02,38.29134,-79.34538,2016,NA,NA,NA,NA,NA,NA,NA,6.777777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"8",2017-01-02,41.5236,-78.21419,2017,NA,NA,NA,NA,NA,NA,NA,3.555555556,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"9",2019-01-02,37.9205,-78.9879,2019,NA,NA,NA,NA,NA,NA,NA,7.666666667,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-01-02,37.944862,-78.964713,2019,NA,NA,NA,NA,NA,NA,NA,8,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"11",2019-01-02,38.013481,-78.98915,2019,NA,NA,NA,NA,NA,NA,NA,8.055555556,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"12",2016-01-03,41.63098,-76.64306,2016,NA,NA,NA,NA,NA,NA,NA,3.166666667,"WT.10",1,"deg C",4,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"13",2016-01-03,41.63369,-76.610253,2016,NA,NA,NA,NA,NA,NA,NA,4.5,"WT.10",1,"deg C",4,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"14",2016-01-03,41.64132,-76.593672,2016,NA,NA,NA,NA,NA,NA,NA,0.888888889,"WT.10",1,"deg C",4,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"15",2016-01-03,41.62758,-76.624959,2016,NA,NA,NA,NA,NA,NA,NA,4,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"16",2017-01-03,40.82668,-78.1111,2017,NA,NA,NA,NA,NA,NA,NA,6,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"17",2017-01-03,40.94715,-77.82855,2017,NA,NA,NA,NA,NA,NA,NA,4.888888889,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"18",2013-01-04,40.90458,-78.10922,2013,NA,NA,NA,NA,NA,NA,NA,3.277777778,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"19",2013-01-04,40.89526,-78.20605,2013,NA,NA,NA,NA,NA,NA,NA,2.222222222,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"20",2013-01-04,40.94253,-78.12451,2013,NA,NA,NA,NA,NA,NA,NA,2.222222222,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"21",2017-01-04,38.278173,-79.297023,2017,NA,NA,NA,NA,NA,NA,NA,6.277777778,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"22",2017-01-04,38.27592,-79.33541,2017,NA,NA,NA,NA,NA,NA,NA,5.777777778,"WT.10",1,"deg C",5.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"23",2017-01-04,38.24426,-79.33488,2017,NA,NA,NA,NA,NA,NA,NA,6.277777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"24",2019-01-05,37.668611,-78.699167,2019,NA,NA,NA,NA,NA,NA,NA,5.5,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-01-05,40.82668,-78.1111,2020,NA,NA,NA,NA,NA,NA,NA,5.722222222,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-01-05,40.94715,-77.82855,2020,NA,NA,NA,NA,NA,NA,NA,4.222222222,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-01-06,37.9205,-78.9879,2020,NA,NA,NA,NA,NA,NA,NA,6.277777778,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-01-06,37.944862,-78.964713,2020,NA,NA,NA,NA,NA,NA,NA,6.888888889,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-01-06,38.013481,-78.98915,2020,NA,NA,NA,NA,NA,NA,NA,6.388888889,"WT.10",1,"deg C",7,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"30",2013-01-09,38.06853,-79.52718,2013,NA,NA,NA,NA,NA,NA,NA,0.611111111,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"31",2013-01-09,38.15796,-79.47326,2013,NA,NA,NA,NA,NA,NA,NA,1.777777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"32",2013-01-10,42.16879,-75.89955,2013,NA,NA,NA,NA,NA,NA,NA,3,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"33",2013-01-10,42.21541,-76.03917,2013,NA,NA,NA,NA,NA,NA,NA,2,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"34",2019-01-11,37.687656,-78.692628,2019,NA,NA,NA,NA,NA,NA,NA,5.388888889,"WT.10",1,"deg C",7,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"35",2014-01-12,40.82668,-78.1111,2014,NA,NA,NA,NA,NA,NA,NA,5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"36",2015-01-12,40.935392,-78.022634,2015,NA,NA,NA,NA,NA,NA,NA,3.777777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"37",2015-01-12,40.82668,-78.1111,2015,NA,NA,NA,NA,NA,NA,NA,3.777777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"38",2017-01-12,38.279417,-79.293817,2017,NA,NA,NA,NA,NA,NA,NA,7.611111111,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"39",2018-01-12,38.27592,-79.33541,2018,NA,NA,NA,NA,NA,NA,NA,3.5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"40",2018-01-12,38.24426,-79.33488,2018,NA,NA,NA,NA,NA,NA,NA,1,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"41",2019-01-12,37.5694,-78.6595,2019,NA,NA,NA,NA,NA,NA,NA,3.5,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"42",2019-01-12,37.585347,-78.647194,2019,NA,NA,NA,NA,NA,NA,NA,5.388888889,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"43",2017-01-13,37.9205,-78.9879,2017,NA,NA,NA,NA,NA,NA,NA,8.5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"44",2017-01-13,37.944862,-78.964713,2017,NA,NA,NA,NA,NA,NA,NA,8.388888889,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"45",2017-01-13,38.013481,-78.98915,2017,NA,NA,NA,NA,NA,NA,NA,9.5,"WT.10",1,"deg C",7.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"46",2017-01-13,38.026184,-79.06562,2017,NA,NA,NA,NA,NA,NA,NA,10,"WT.10",1,"deg C",8.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"47",2019-01-14,38.12785,-79.49928,2019,NA,NA,NA,NA,NA,NA,NA,1.777777778,"WT.10",1,"deg C",5.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"48",2019-01-14,38.13684,-79.49133,2019,NA,NA,NA,NA,NA,NA,NA,3.388888889,"WT.10",1,"deg C",4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"49",2012-01-15,40.89526,-78.20605,2012,NA,NA,NA,NA,NA,NA,NA,3.333333333,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"50",2012-01-15,40.94253,-78.12451,2012,NA,NA,NA,NA,NA,NA,NA,2.222222222,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"51",2015-01-15,38.20549,-79.13815,2015,NA,NA,NA,NA,NA,NA,NA,5.222222222,"WT.10",1,"deg C",7,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"52",2015-01-15,38.30791,-79.36073,2015,NA,NA,NA,NA,NA,NA,NA,2.277777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"53",2016-01-15,41.4194,-78.2264,2016,NA,NA,NA,NA,NA,NA,NA,3.555555556,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"54",2017-01-15,37.980752,-78.953412,2017,NA,NA,NA,NA,NA,NA,NA,7.055555556,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"55",2017-01-15,37.966452,-78.955626,2017,NA,NA,NA,NA,NA,NA,NA,6.055555556,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"56",2017-01-15,38.27493,-79.38364,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"57",2017-01-15,37.971351,-78.964351,2017,NA,NA,NA,NA,NA,NA,NA,6.888888889,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"58",2017-01-15,37.967042,-78.956641,2017,NA,NA,NA,NA,NA,NA,NA,7.055555556,"WT.10",1,"deg C",4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"59",2018-01-15,38.27493,-79.38364,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"60",2018-01-15,38.26031,-79.37106,2018,NA,NA,NA,NA,NA,NA,NA,0.611111111,"WT.10",1,"deg C",4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"61",2018-01-15,38.23334,-79.34763,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"62",2018-01-15,38.29134,-79.34538,2018,NA,NA,NA,NA,NA,NA,NA,0.527777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"63",2018-01-15,38.309539,-79.359504,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"64",2019-01-15,40.82668,-78.1111,2019,NA,NA,NA,NA,NA,NA,NA,4,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"65",2019-01-15,40.94715,-77.82855,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"66",2020-01-15,38.09341,-79.5687,2020,NA,NA,NA,NA,NA,NA,NA,6.777777778,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-01-15,38.083213,-79.574201,2020,NA,NA,NA,NA,NA,NA,NA,7,"WT.10",1,"deg C",6.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"68",2020-01-15,38.0942,-79.56992,2020,NA,NA,NA,NA,NA,NA,NA,6.888888889,"WT.10",1,"deg C",6.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"69",2016-01-16,41.5236,-78.21419,2016,NA,NA,NA,NA,NA,NA,NA,3,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"70",2016-01-16,37.980752,-78.953412,2016,NA,NA,NA,NA,NA,NA,NA,6.777777778,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"71",2016-01-16,37.966452,-78.955626,2016,NA,NA,NA,NA,NA,NA,NA,6.388888889,"WT.10",1,"deg C",5.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"72",2016-01-16,37.971351,-78.964351,2016,NA,NA,NA,NA,NA,NA,NA,7.166666667,"WT.10",1,"deg C",4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"73",2016-01-16,37.967042,-78.956641,2016,NA,NA,NA,NA,NA,NA,NA,7.055555556,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"74",2017-01-16,38.27618,-79.31866,2017,NA,NA,NA,NA,NA,NA,NA,5.5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"75",2017-01-16,38.27493,-79.38364,2017,NA,NA,NA,NA,NA,NA,NA,6.222222222,"WT.10",1,"deg C",5.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"76",2017-01-16,38.26031,-79.37106,2017,NA,NA,NA,NA,NA,NA,NA,6.722222222,"WT.10",1,"deg C",5.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"77",2017-01-16,38.23334,-79.34763,2017,NA,NA,NA,NA,NA,NA,NA,7.333333333,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"78",2017-01-16,38.12785,-79.49928,2017,NA,NA,NA,NA,NA,NA,NA,5.388888889,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"79",2017-01-16,38.13684,-79.49133,2017,NA,NA,NA,NA,NA,NA,NA,6.388888889,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"80",2015-01-17,38.334248,-79.23894,2015,NA,NA,NA,NA,NA,NA,NA,4.166666667,"WT.10",1,"deg C",5.25,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"81",2017-01-17,40.82668,-78.1111,2017,NA,NA,NA,NA,NA,NA,NA,6.055555556,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"82",2017-01-17,40.94715,-77.82855,2017,NA,NA,NA,NA,NA,NA,NA,4.388888889,"WT.10",1,"deg C",6,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"83",2015-01-18,37.971389,-79.009722,2015,NA,NA,NA,NA,NA,NA,NA,5.555555556,"WT.10",1,"deg C",4.75,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"84",2015-01-18,38.364567,-79.161917,2015,NA,NA,NA,NA,NA,NA,NA,4.888888889,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"85",2019-01-18,38.278173,-79.297023,2019,NA,NA,NA,NA,NA,NA,NA,4.777777778,"WT.10",1,"deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2019-01-18,38.279417,-79.293817,2019,NA,NA,NA,NA,NA,NA,NA,5,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"87",2019-01-18,37.597022,-78.636904,2019,NA,NA,NA,NA,NA,NA,NA,7,"WT.10",1,"deg C",5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
"88",2019-01-18,37.640907,-78.691147,2019,NA,NA,NA,NA,NA,NA,NA,5.833333333,"WT.10",1,"deg C",4.5,"PH.3",1,"SU",NA,NA,NA,NA,NA,NA,NA,NA
