"","Date","Latitude","Longitude","pH"
"1",2012-01-01,40.89526,-78.20605,6
"2",2012-01-01,42.21541,-76.03917,6
"3",2012-01-01,40.94253,-78.12451,6
"4",2016-01-01,40.82668,-78.1111,5
"5",2016-01-01,40.94715,-77.82855,6
"6",2016-01-02,38.27592,-79.33541,5.25
"7",2016-01-02,38.29134,-79.34538,5
"8",2017-01-02,41.5236,-78.21419,5
"9",2019-01-02,37.9205,-78.9879,5.5
"10",2019-01-02,37.944862,-78.964713,5
"11",2019-01-02,38.013481,-78.98915,6
"12",2016-01-03,41.63098,-76.64306,4
"13",2016-01-03,41.63369,-76.610253,4
"14",2016-01-03,41.64132,-76.593672,4
"15",2016-01-03,41.62758,-76.624959,5
"16",2017-01-03,40.82668,-78.1111,5
"17",2017-01-03,40.94715,-77.82855,6
"18",2013-01-04,40.90458,-78.10922,6
"19",2013-01-04,40.89526,-78.20605,6
"20",2013-01-04,40.94253,-78.12451,6
"21",2017-01-04,38.278173,-79.297023,5.5
"22",2017-01-04,38.27592,-79.33541,5.25
"23",2017-01-04,38.24426,-79.33488,5
"24",2019-01-05,37.668611,-78.699167,5.5
"25",2020-01-05,40.82668,-78.1111,5
"26",2020-01-05,40.94715,-77.82855,5
"27",2020-01-06,37.9205,-78.9879,5.5
"28",2020-01-06,37.944862,-78.964713,5
"29",2020-01-06,38.013481,-78.98915,7
"30",2013-01-09,38.06853,-79.52718,5
"31",2013-01-09,38.15796,-79.47326,5
"32",2013-01-10,42.16879,-75.89955,6
"33",2013-01-10,42.21541,-76.03917,6
"34",2019-01-11,37.687656,-78.692628,7
"35",2014-01-12,40.82668,-78.1111,5
"36",2015-01-12,40.935392,-78.022634,5
"37",2015-01-12,40.82668,-78.1111,5
"38",2017-01-12,38.279417,-79.293817,5
"39",2018-01-12,38.27592,-79.33541,5
"40",2018-01-12,38.24426,-79.33488,5
"41",2019-01-12,37.5694,-78.6595,5.5
"42",2019-01-12,37.585347,-78.647194,5.5
"43",2017-01-13,37.9205,-78.9879,5
"44",2017-01-13,37.944862,-78.964713,4.75
"45",2017-01-13,38.013481,-78.98915,7.5
"46",2017-01-13,38.026184,-79.06562,8.25
"47",2019-01-14,38.12785,-79.49928,5.75
"48",2019-01-14,38.13684,-79.49133,4.5
"49",2012-01-15,40.89526,-78.20605,6
"50",2012-01-15,40.94253,-78.12451,6
"51",2015-01-15,38.20549,-79.13815,7
"52",2015-01-15,38.30791,-79.36073,5
"53",2016-01-15,41.4194,-78.2264,5
"54",2017-01-15,37.980752,-78.953412,5
"55",2017-01-15,37.966452,-78.955626,5
"56",2017-01-15,38.27493,-79.38364,5
"57",2017-01-15,37.971351,-78.964351,4.75
"58",2017-01-15,37.967042,-78.956641,4.5
"59",2018-01-15,38.27493,-79.38364,5
"60",2018-01-15,38.26031,-79.37106,4.5
"61",2018-01-15,38.23334,-79.34763,5
"62",2018-01-15,38.29134,-79.34538,5
"63",2018-01-15,38.309539,-79.359504,4.5
"64",2019-01-15,40.82668,-78.1111,5
"65",2019-01-15,40.94715,-77.82855,5
"66",2020-01-15,38.09341,-79.5687,6
"67",2020-01-15,38.083213,-79.574201,6.5
"68",2020-01-15,38.0942,-79.56992,6.5
"69",2016-01-16,41.5236,-78.21419,5
"70",2016-01-16,37.980752,-78.953412,5
"71",2016-01-16,37.966452,-78.955626,5.5
"72",2016-01-16,37.971351,-78.964351,4.5
"73",2016-01-16,37.967042,-78.956641,4.75
"74",2017-01-16,38.27618,-79.31866,5
"75",2017-01-16,38.27493,-79.38364,5.25
