field_1,Date,Latitude,Longitude,water_temp
"44",2000-01-08,"40.227646","-77.20661","11"
"66",1998-01-11,"40.241721","-77.175346","6"
"72",2001-01-14,"40.227646","-77.20661","11"
"136",2001-02-10,"40.227646","-77.20661","10"
"147",2000-02-12,"40.227646","-77.20661","11"
"164",1998-02-15,"40.239804","-77.173815","5"
"170",1998-02-15,"40.241721","-77.175346","2"
"238",2001-03-10,"40.227646","-77.20661","9"
"244",2000-03-11,"40.227646","-77.20661","8.2"
"258",1999-03-13,"40.20152","-77.184854","12"
"271",1998-03-14,"40.20152","-77.184854","10"
"306",1998-04-05,"40.20152","-77.184854","13"
"332",2000-04-08,"40.227646","-77.20661","12"
"345",1999-04-10,"40.20152","-77.184854","16"
"349",1998-04-11,"40.239804","-77.173815","10"
"352",1998-04-11,"40.241721","-77.175346","6"
"363",2001-04-14,"40.227646","-77.20661","10"
"422",1999-05-08,"40.227646","-77.20661","12"
"430",1998-05-09,"40.20152","-77.184854","16"
"433",1999-05-09,"40.241721","-77.175346","15"
"460",2000-05-13,"40.227646","-77.20661","13"
"545",2000-06-10,"40.227646","-77.20661","13"
"555",1999-06-12,"40.227646","-77.20661","13"
"591",1999-06-16,"40.241721","-77.175346","18"
"644",1998-07-07,"40.187955","-77.187194","16"
"652",2000-07-08,"40.227646","-77.20661","13"
"666",1999-07-10,"40.227646","-77.20661","13"
"668",1998-07-11,"40.20152","-77.184854","16"
"710",1998-07-19,"40.219418","-77.155726","16"
"762",1998-08-08,"40.20152","-77.184854","14"
"793",2000-08-12,"40.227646","-77.20661","14"
"801",1999-08-14,"40.227646","-77.20661","15"
"817",1998-08-16,"40.219418","-77.155726","15"
"818",1998-08-16,"40.187955","-77.187194","14"
"819",1999-08-17,"40.241721","-77.175346","20"
"859",2000-09-09,"40.227646","-77.20661","14"
"875",1999-09-11,"40.227646","-77.20661","14"
"882",1998-09-12,"40.20152","-77.184854","17"
"890",1998-09-13,"40.219418","-77.155726","18"
"891",1998-09-13,"40.187955","-77.187194","16"
"957",1999-10-10,"40.227646","-77.20661","14"
"959",1998-10-11,"40.219418","-77.155726","14"
"960",1998-10-11,"40.20152","-77.184854","12"
"961",1998-10-11,"40.187955","-77.187194","14"
"977",2000-10-14,"40.227646","-77.20661","14"
"1038",2000-11-11,"40.227646","-77.20661","13"
"1053",1999-11-13,"40.227646","-77.20661","13"
"1130",2000-12-10,"40.227646","-77.20661","10"
"1138",1999-12-11,"40.227646","-77.20661","12"
"1145",1998-12-12,"40.20152","-77.184854","10"
"2897",1993-01-01,"40.17663","-77.18537","9.5"
"2898",1993-01-01,"40.23487","-77.14193","8"
"2899",1993-01-01,"40.17667","-77.18507","8.85"
"2900",1993-01-01,"40.17999","-77.18692","9.25"
"2901",1993-01-01,"40.18844","-77.18606","8.5"
"2902",1993-01-01,"40.19528","-77.18423","8.5"
"2903",1993-01-01,"40.20792","-77.18104","7.75"
"2904",1993-01-01,"40.21418","-77.16883","8.25"
"2905",1993-01-01,"40.21847","-77.16003","8.4"
"2906",1993-01-01,"40.22429","-77.14928","8.4"
"2907",1994-01-01,"40.17663","-77.18537","7.5"
"2908",1994-01-01,"40.23487","-77.14193","5.1"
"2909",1994-01-01,"40.17667","-77.18507","7"
"2910",1994-01-01,"40.17999","-77.18692","7"
"2911",1994-01-01,"40.18844","-77.18606","6"
"2912",1994-01-01,"40.19528","-77.18423","5.5"
"2913",1994-01-01,"40.20792","-77.18104","6"
"2914",1994-01-01,"40.21418","-77.16883","5"
"2915",1994-01-01,"40.21847","-77.16003","5"
"2916",1994-01-01,"40.22429","-77.14928","5"
"2917",2003-01-03,"40.17663","-77.18537","10"
"2918",2003-01-03,"40.23487","-77.14193","6.6"
"2919",2003-01-03,"40.17667","-77.18507","9.2"
"2920",2003-01-03,"40.17999","-77.18692","8.9"
"2921",2003-01-03,"40.18844","-77.18606","8.5"
"2922",2003-01-03,"40.19528","-77.18423","8.3"
"2923",2003-01-03,"40.20792","-77.18104","7.3"
"2924",2003-01-03,"40.21418","-77.16883","7.7"
"2925",2003-01-03,"40.21847","-77.16003","7.1"
"2926",2003-01-03,"40.22429","-77.14928","7.2"
"2927",2003-01-03,"40.19568","-77.18767","11.5"
"2928",2003-01-03,"40.19608","-77.18518","9.9"
"2930",2017-01-06,"40.17663","-77.18537","12.3"
"2931",2007-01-07,"40.17663","-77.18537","10.6"
"2932",2007-01-07,"40.23487","-77.14193","6.6"
"2933",2007-01-07,"40.17667","-77.18507","10.1"
"2934",2007-01-07,"40.17999","-77.18692","9.5"
"2935",2007-01-07,"40.18844","-77.18606","9.6"
"2936",2007-01-07,"40.19528","-77.18423","9.1"
"2937",2007-01-07,"40.20792","-77.18104","7.9"
"2938",2007-01-07,"40.21418","-77.16883","7.4"
"2939",2007-01-07,"40.21847","-77.16003","7"
"2940",2007-01-07,"40.22429","-77.14928","7.1"
"2941",2007-01-07,"40.19568","-77.18767","11"
"2942",2007-01-07,"40.19608","-77.18518","6.5"
"2943",1997-01-08,"40.17663","-77.18537","9.8"
"2944",1997-01-08,"40.23487","-77.14193","7.5"
"2945",1997-01-08,"40.17667","-77.18507","9.8"
"2946",1997-01-08,"40.17999","-77.18692","9.6"
"2947",1997-01-08,"40.18844","-77.18606","9.5"
"2948",1997-01-08,"40.19528","-77.18423","7.9"
"2949",1997-01-08,"40.20792","-77.18104","7.9"
"2950",1997-01-08,"40.21418","-77.16883","8.3"
"2951",1997-01-08,"40.21847","-77.16003","8.2"
"2952",1997-01-08,"40.22429","-77.14928","7.7"
"2953",1998-01-08,"40.17663","-77.18537","10"
"2954",1998-01-08,"40.23487","-77.14193","10.1"
"2955",1998-01-08,"40.17667","-77.18507","10"
"2956",1998-01-08,"40.17999","-77.18692","10"
"2957",1998-01-08,"40.18844","-77.18606","10"
"2958",1998-01-08,"40.19528","-77.18423","10.2"
"2959",1998-01-08,"40.20792","-77.18104","10.1"
"2960",1998-01-08,"40.21418","-77.16883","10.2"
"2961",1998-01-08,"40.21847","-77.16003","10.2"
"2962",1998-01-08,"40.22429","-77.14928","10.1"
"2963",1999-01-08,"40.17663","-77.18537","11"
"2964",1999-01-08,"40.23487","-77.14193","11.3"
"2965",1999-01-08,"40.17667","-77.18507","11"
"2966",1999-01-08,"40.17999","-77.18692","11.1"
"2967",1999-01-08,"40.18844","-77.18606","11"
"2968",1999-01-08,"40.19528","-77.18423","11"
"2969",1999-01-08,"40.20792","-77.18104","11.1"
"2970",1999-01-08,"40.21418","-77.16883","11"
"2971",1999-01-08,"40.21847","-77.16003","11.2"
"2972",1999-01-08,"40.22429","-77.14928","11.2"
"2973",2008-01-08,"40.17663","-77.18537","10.7"
"2974",2008-01-08,"40.23487","-77.14193","8.2"
"2975",2008-01-08,"40.17667","-77.18507","10"
"2976",2008-01-08,"40.17999","-77.18692","10.3"
"2977",2008-01-08,"40.18844","-77.18606","9.9"
"2978",2008-01-08,"40.19528","-77.18423","9.5"
"2979",2008-01-08,"40.20792","-77.18104","8.4"
"2980",2008-01-08,"40.21418","-77.16883","8.9"
"2981",2008-01-08,"40.21847","-77.16003","8.7"
"2982",2008-01-08,"40.22429","-77.14928","8.7"
"2983",2008-01-08,"40.19568","-77.18767","11.1"
"2984",2008-01-08,"40.19608","-77.18518","9"
"2985",2008-01-08,"40.19588","-77.18745","7.2"
"2986",2009-01-09,"40.17663","-77.18537","10.2"
"2987",2009-01-09,"40.23487","-77.14193","7.6"
"2988",2009-01-09,"40.17667","-77.18507","10"
"2989",2009-01-09,"40.17999","-77.18692","9.5"
"2990",2009-01-09,"40.18844","-77.18606","8.7"
"2991",2009-01-09,"40.19528","-77.18423","8.8"
"2992",2009-01-09,"40.20792","-77.18104","8.5"
"2993",2009-01-09,"40.21418","-77.16883","8.4"
"2994",2009-01-09,"40.21847","-77.16003","7.5"
"2995",2009-01-09,"40.22429","-77.14928","7.8"
"2996",2009-01-09,"40.19568","-77.18767","10.2"
"2997",2009-01-09,"40.19608","-77.18518","10.5"
"2998",2009-01-09,"40.19588","-77.18745","7.5"
"3007",2020-01-13,"40.17999","-77.18692","11"
"3008",2020-01-13,"40.17667","-77.18507","11.2"
"3009",2020-01-13,"40.17663","-77.18537","11"
"3010",2020-01-13,"40.19528","-77.18423","10.9"
"3011",2020-01-13,"40.20792","-77.18104","10.4"
"3012",2020-01-13,"40.22429","-77.14928","10.2"
"3013",2020-01-13,"40.23487","-77.14193","10"
"3021",2018-01-15,"40.17999","-77.18692","5.5"
"3022",2018-01-15,"40.17667","-77.18507","6.2"
"3023",2018-01-15,"40.17663","-77.18537","8.2"
"3024",2018-01-15,"40.19528","-77.18423","5.8"
"3025",2018-01-15,"40.20792","-77.18104","3.8"
"3026",2018-01-15,"40.22429","-77.14928","3.8"
"3027",2018-01-15,"40.23487","-77.14193","4.6"
"3040",2020-01-17,"40.236495","-77.193667","1"
"3049",2020-01-19,"40.234075","-77.218027","1.6"
"3063",2005-01-26,"40.17663","-77.18537","10.7"
"3064",2005-01-26,"40.23487","-77.14193","9.9"
"3065",2005-01-26,"40.17667","-77.18507","10.8"
"3066",2005-01-26,"40.17999","-77.18692","10.1"
"3067",2005-01-26,"40.18844","-77.18606","10.2"
"3068",2005-01-26,"40.19528","-77.18423","10.3"
"3069",2005-01-26,"40.20792","-77.18104","10"
"3070",2005-01-26,"40.21418","-77.16883","10"
"3071",2005-01-26,"40.21847","-77.16003","10"
"3072",2005-01-26,"40.22429","-77.14928","9.9"
"3073",2005-01-26,"40.19568","-77.18767","12.2"
"3074",2005-01-26,"40.19608","-77.18518","12.4"
"3075",2005-01-26,"40.19588","-77.18745","10.3"
"3076",2010-01-27,"40.17663","-77.18537","10.4"
"3077",2010-01-27,"40.23487","-77.14193","9.6"
"3078",2010-01-27,"40.17667","-77.18507","10.4"
"3079",2010-01-27,"40.17999","-77.18692","10.2"
"3080",2010-01-27,"40.18844","-77.18606","10.1"
"3081",2010-01-27,"40.19528","-77.18423","9.5"
"3082",2010-01-27,"40.20792","-77.18104","9.5"
"3083",2010-01-27,"40.21418","-77.16883","9.6"
"3084",2010-01-27,"40.21847","-77.16003","9.8"
"3085",2010-01-27,"40.22429","-77.14928","9.9"
"3086",2010-01-27,"40.19568","-77.18767","12.1"
"3087",2010-01-27,"40.19608","-77.18518","11.8"
"3088",2010-01-27,"40.19588","-77.18745","11.1"
"3089",2001-01-29,"40.17663","-77.18537","10.9"
"3090",2001-01-29,"40.23487","-77.14193","7.4"
"3091",2001-01-29,"40.17667","-77.18507","10.1"
"3092",2001-01-29,"40.17999","-77.18692","10.5"
"3093",2001-01-29,"40.18844","-77.18606","10.2"
"3094",2001-01-29,"40.19528","-77.18423","10"
"3095",2001-01-29,"40.20792","-77.18104","8.5"
"3096",2001-01-29,"40.21418","-77.16883","8.1"
"3097",2001-01-29,"40.21847","-77.16003","7.7"
"3098",2001-01-29,"40.22429","-77.14928","7.9"
"3099",2002-01-30,"40.17663","-77.18537","11.5"
"3100",2002-01-30,"40.23487","-77.14193","11.5"
"3101",2002-01-30,"40.17667","-77.18507","12"
"3102",2002-01-30,"40.17999","-77.18692","11.1"
"3103",2002-01-30,"40.18844","-77.18606","11.3"
"3104",2002-01-30,"40.19528","-77.18423","11.5"
"3105",2002-01-30,"40.20792","-77.18104","11.3"
"3106",2002-01-30,"40.21418","-77.16883","11.5"
"3107",2002-01-30,"40.21847","-77.16003","11.4"
"3108",2002-01-30,"40.22429","-77.14928","11.5"
"3109",2002-01-30,"40.19608","-77.18518","11.1"
"3110",2004-01-30,"40.17663","-77.18537","10.2"
"3111",2004-01-30,"40.17667","-77.18507","9.9"
"3112",2004-01-30,"40.17999","-77.18692","9.3"
"3113",2004-01-30,"40.18844","-77.18606","9.1"
"3114",2004-01-30,"40.19568","-77.18767","8.6"
"3116",2019-01-30,"40.17667","-77.18507","8.8"
"3117",2019-01-30,"40.17663","-77.18537","8.8"
"3118",2019-01-30,"40.19528","-77.18423","8.1"
"3119",2019-01-30,"40.20792","-77.18104","8.1"
"3120",2019-01-30,"40.22429","-77.14928","8"
"3121",2019-01-30,"40.23487","-77.14193","8"
"3122",2000-01-31,"40.17663","-77.18537","11"
"3123",2000-01-31,"40.23487","-77.14193","6"
"3124",2000-01-31,"40.17667","-77.18507","9"
"3125",2000-01-31,"40.17999","-77.18692","5"
"3126",2000-01-31,"40.18844","-77.18606","9"
"3127",2000-01-31,"40.19528","-77.18423","9"
"3128",2000-01-31,"40.20792","-77.18104","7.5"
"3129",2000-01-31,"40.21418","-77.16883","7"
